study,participant.id,start.date,end.date,IMC,excluded,excluded.selective,advice,advice.algorithm,moroccan.teacher.cond,moroccan.teacher.cond.lab,moroccan.teacher.cond.bi,moroccan.teacher.cond.bi.lab,timer.minutes,decision,decision.lab,score.teacher.selected,follow.advice,decision.comb,man.check.advice,man.check.evaluation,score.teacher.selected.guess,man.check.score.exact,man.check.score,female,age,high.education,income,familiarity.algorithms.gov,congruence.lab
study 2,study2_616,01-04-20 16:04,01-04-20 16:17,1,0,1,human,0,0,0 none,0,Dutch teacher,13.07,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,32,NA,3,NA,1.high
study 2,study2_617,01-04-20 15:57,01-04-20 16:18,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,20.87,1,A. Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,4,1,1,1,67,NA,1,0,2.low
study 2,study2_618,01-04-20 16:04,01-04-20 16:18,0,1,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,14.73,2,F. El Amrani,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,0,64,0,5,1,1.high
study 2,study2_619,01-04-20 16:01,01-04-20 16:19,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,17.88,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,37,1,5,0,2.low
study 2,study2_620,01-04-20 16:05,01-04-20 16:20,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,14.17,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,70,1,4,NA,1.high
study 2,study2_621,01-04-20 16:06,01-04-20 16:20,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,13.48,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,34,0,1,NA,1.high
study 2,study2_622,01-04-20 16:06,01-04-20 16:22,1,0,0,human,0,0,0 none,0,Dutch teacher,16.47,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,23,1,1,NA,2.low
study 2,study2_623,01-04-20 16:13,01-04-20 16:22,1,0,0,human,0,0,0 none,0,Dutch teacher,9.08,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,0,0,68,0,1,NA,1.high
study 2,study2_624,01-04-20 16:05,01-04-20 16:23,1,0,1,algorithm,1,0,0 none,0,Dutch teacher,17.97,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,3,0,0,1,46,0,2,0,1.high
study 2,study2_625,01-04-20 16:04,01-04-20 16:24,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,19.33,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,1,68,0,3,0,2.low
study 2,study2_626,01-04-20 15:58,01-04-20 16:27,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,28.87,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,27,0,1,0,1.high
study 2,study2_627,01-04-20 15:43,01-04-20 16:28,0,1,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,45.6,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,7,0,0,0,33,1,3,NA,2.low
study 2,study2_628,01-04-20 15:59,01-04-20 16:31,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,31.67,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,50,1,4,NA,2.low
study 2,study2_629,01-04-20 15:53,01-04-20 16:33,1,0,0,human,0,0,0 none,0,Dutch teacher,39.57,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,46,0,5,NA,2.low
study 2,study2_630,01-04-20 15:59,01-04-20 16:39,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,39.88,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,27,1,4,0,2.low
study 2,study2_631,01-04-20 16:39,01-04-20 16:46,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,6.83,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,0,67,0,5,0,1.high
study 2,study2_632,01-04-20 15:44,01-04-20 16:58,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,73.45,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,0,0,64,0,3,0,1.high
study 2,study2_633,01-04-20 16:55,01-04-20 16:59,0,1,0,human,0,0,0 none,0,Dutch teacher,4.22,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,0,0,6,0,0,1,20,1,3,NA,1.high
study 2,study2_634,01-04-20 17:23,01-04-20 17:29,0,1,0,human,0,0,0 none,0,Dutch teacher,5.8,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,0,68,0,3,NA,2.low
study 2,study2_635,01-04-20 15:58,01-04-20 17:44,0,1,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,105.38,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,1,19,1,1,NA,2.low
study 2,study2_636,01-04-20 17:50,01-04-20 17:56,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,6.48,1,A. Verhagen,8,0,3. Other selection,0,0,6,0,0,0,70,0,1,0,1.high
study 2,study2_637,01-04-20 18:30,01-04-20 18:51,0,1,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,20.35,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,0,67,1,3,NA,2.low
study 2,study2_638,01-04-20 18:52,01-04-20 18:57,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,5.33,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,0,23,1,4,0,1.high
study 2,study2_639,01-04-20 19:14,01-04-20 19:16,0,1,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,1.75,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,7,0,1,0,47,1,3,0,2.low
study 2,study2_640,01-04-20 19:31,01-04-20 19:34,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,3.07,1,A. Verhagen,8,0,3. Other selection,0,1,8,1,1,1,19,0,1,NA,1.high
study 2,study2_641,01-04-20 19:36,01-04-20 19:45,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,8.1,1,A. Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,7,0,0,0,73,0,3,0,2.low
study 2,study2_642,01-04-20 19:57,01-04-20 20:04,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,6.92,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,7,0,0,0,74,1,3,NA,1.high
study 2,study2_643,01-04-20 20:19,01-04-20 20:36,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,16.92,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,65,0,5,0,1.high
study 2,study2_644,01-04-20 20:53,01-04-20 21:05,1,0,0,human,0,0,0 none,0,Dutch teacher,11.83,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,62,0,3,NA,2.low
study 2,study2_645,01-04-20 21:48,01-04-20 22:05,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,17.68,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,57,1,4,NA,2.low
study 2,study2_646,01-04-20 22:30,01-04-20 22:33,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,2.73,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,1,0,9,0,1,0,15,0,1,0,1.high
study 2,study2_647,01-04-20 23:14,01-04-20 23:19,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,4.9,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,1,0,6,0,0,0,56,0,2,0,1.high
study 2,study2_648,01-04-20 23:14,01-04-20 23:20,1,0,0,human,0,0,0 none,0,Dutch teacher,6.52,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,69,1,4,NA,2.low
study 2,study2_649,02-04-20 0:20,02-04-20 0:30,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,9.7,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,0,61,0,1,0,1.high
study 2,study2_650,02-04-20 0:43,02-04-20 0:47,0,1,1,human,0,0,0 none,0,Dutch teacher,3.98,1,A. Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,10,0,0,0,19,0,3,NA,2.low
study 2,study2_651,02-04-20 1:03,02-04-20 1:06,0,1,0,human,0,0,0 none,0,Dutch teacher,2.8,1,A. Verhagen,8,0,3. Other selection,0,0,4,0,0,0,21,0,1,NA,1.high
study 2,study2_652,02-04-20 1:28,02-04-20 1:37,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,9.23,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,6,0,0,0,67,0,1,NA,2.low
study 2,study2_653,02-04-20 1:46,02-04-20 2:06,1,0,1,algorithm,1,0,0 none,0,Dutch teacher,19.28,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,1,0,0,0,21,0,1,0,1.high
study 2,study2_654,02-04-20 2:13,02-04-20 2:17,1,0,1,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,4.32,1,A. Verhagen,8,0,3. Other selection,1,1,9,0,1,0,36,0,4,NA,1.high
study 2,study2_655,02-04-20 2:30,02-04-20 2:35,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,4.67,1,F. El Amrani,4,1,1. Select teacher with lowest ILE score,0,0,4,1,1,1,41,1,4,0,2.low
study 2,study2_656,02-04-20 2:52,02-04-20 3:03,1,0,1,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,11.68,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,24,1,2,1,1.high
study 2,study2_657,02-04-20 3:21,02-04-20 3:26,0,1,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,5.33,2,M.S. Jansen,6,0,3. Other selection,0,0,7,0,0,0,35,0,1,0,2.low
study 2,study2_658,02-04-20 3:21,02-04-20 3:29,0,1,0,human,0,0,0 none,0,Dutch teacher,7.32,1,A. Verhagen,8,0,3. Other selection,1,1,9,0,1,0,33,1,5,NA,1.high
study 2,study2_659,02-04-20 4:04,02-04-20 4:17,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,12.2,2,F. El Amrani,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,0,38,0,4,NA,1.high
study 2,study2_660,02-04-20 4:22,02-04-20 4:28,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,5.8,1,A. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,8,0,0,0,73,1,1,1,2.low
study 2,study2_661,02-04-20 4:41,02-04-20 4:47,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,5.95,1,A. Verhagen,8,0,3. Other selection,0,1,8,1,1,0,30,0,3,NA,1.high
study 2,study2_662,02-04-20 5:04,02-04-20 5:13,1,0,1,human,0,0,0 none,0,Dutch teacher,8.47,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,1,0,10,0,0,0,42,1,4,NA,1.high
study 2,study2_663,02-04-20 5:04,02-04-20 5:13,1,0,1,human,0,0,0 none,0,Dutch teacher,8.87,1,A. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,10,0,0,0,43,1,4,NA,2.low
study 2,study2_664,02-04-20 6:08,02-04-20 6:18,1,0,0,human,0,0,0 none,0,Dutch teacher,10.35,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,0,34,1,3,NA,2.low
study 2,study2_665,02-04-20 6:32,02-04-20 6:45,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,12.78,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,55,1,4,0,2.low
study 2,study2_666,02-04-20 7:20,02-04-20 7:30,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,9.63,1,A. Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,9,0,0,0,36,1,5,0,2.low
study 2,study2_667,02-04-20 10:13,02-04-20 10:20,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,6.88,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,8,1,0,0,63,0,1,NA,2.low
study 2,study2_668,02-04-20 13:18,02-04-20 13:20,0,1,1,human,0,0,0 none,0,Dutch teacher,2.28,2,M.S. Jansen,6,0,3. Other selection,1,0,8,0,0,0,32,0,3,NA,2.low
study 2,study2_669,02-04-20 13:19,02-04-20 13:21,0,1,0,human,0,0,0 none,0,Dutch teacher,1.85,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,1,0,7,0,0,1,21,1,1,NA,1.high
study 2,study2_670,02-04-20 13:19,02-04-20 13:22,0,1,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,3.42,2,F. El Amrani,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,1,22,0,1,0,1.high
study 2,study2_671,02-04-20 13:20,02-04-20 13:23,0,1,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,2.53,1,F. El Amrani,4,1,1. Select teacher with lowest ILE score,0,0,8,0,0,0,21,1,3,1,2.low
study 2,study2_672,02-04-20 13:19,02-04-20 13:24,1,0,1,algorithm,1,0,0 none,0,Dutch teacher,5,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,8,0,0,1,39,1,5,0,1.high
study 2,study2_673,02-04-20 13:17,02-04-20 13:25,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,7.7,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,66,0,1,1,2.low
study 2,study2_674,02-04-20 13:22,02-04-20 13:25,0,1,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,3.72,2,F. El Amrani,4,1,1. Select teacher with lowest ILE score,1,0,7,0,0,0,48,0,3,NA,1.high
study 2,study2_675,02-04-20 13:21,02-04-20 13:26,1,0,0,human,0,0,0 none,0,Dutch teacher,5.2,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,60,1,2,NA,2.low
study 2,study2_676,02-04-20 13:22,02-04-20 13:26,0,1,0,human,0,0,0 none,0,Dutch teacher,4.03,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,0,0,7,0,0,1,66,0,3,NA,1.high
study 2,study2_677,02-04-20 13:24,02-04-20 13:26,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,2.17,1,A. Verhagen,8,0,3. Other selection,0,1,3,0,1,1,39,0,3,0,1.high
study 2,study2_678,02-04-20 13:20,02-04-20 13:27,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,7.25,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,36,0,1,NA,1.high
study 2,study2_679,02-04-20 13:21,02-04-20 13:27,1,0,0,human,0,0,0 none,0,Dutch teacher,6.4,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,34,1,2,NA,1.high
study 2,study2_680,02-04-20 13:22,02-04-20 13:27,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,5,2,F. El Amrani,4,1,1. Select teacher with lowest ILE score,1,0,6,0,1,0,20,0,4,NA,1.high
study 2,study2_681,02-04-20 13:23,02-04-20 13:28,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,4.48,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,22,1,1,NA,2.low
study 2,study2_682,02-04-20 13:19,02-04-20 13:28,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,8.85,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,67,1,4,0,1.high
study 2,study2_683,02-04-20 13:20,02-04-20 13:28,1,0,0,human,0,0,0 none,0,Dutch teacher,7.67,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,20,0,1,NA,2.low
study 2,study2_684,02-04-20 13:22,02-04-20 13:28,1,0,0,human,0,0,0 none,0,Dutch teacher,6.43,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,6,0,0,1,67,0,3,NA,2.low
study 2,study2_685,02-04-20 13:22,02-04-20 13:29,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,6.57,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,1,1,18,1,3,NA,1.high
study 2,study2_686,02-04-20 13:19,02-04-20 13:29,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,10.18,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,21,1,5,0,1.high
study 2,study2_687,02-04-20 13:19,02-04-20 13:29,1,0,1,algorithm,1,0,0 none,0,Dutch teacher,10.2,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,18,0,3,0,2.low
study 2,study2_688,02-04-20 13:24,02-04-20 13:29,1,0,0,human,0,0,0 none,0,Dutch teacher,5.63,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,7,0,0,0,47,1,4,NA,1.high
study 2,study2_689,02-04-20 13:21,02-04-20 13:29,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,8.37,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,44,1,5,0,1.high
study 2,study2_690,02-04-20 13:20,02-04-20 13:30,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,9.62,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,20,0,1,0,1.high
study 2,study2_691,02-04-20 13:24,02-04-20 13:30,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,6.15,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,60,0,4,NA,2.low
study 2,study2_692,02-04-20 13:28,02-04-20 13:30,0,1,1,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,1.87,1,F. El Amrani,4,1,1. Select teacher with lowest ILE score,0,0,9,0,0,0,74,0,3,NA,2.low
study 2,study2_693,02-04-20 13:25,02-04-20 13:30,1,0,1,human,0,0,0 none,0,Dutch teacher,5.57,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,1,47,1,3,NA,1.high
study 2,study2_694,02-04-20 13:28,02-04-20 13:31,1,1,0,algorithm,1,0,0 none,0,Dutch teacher,2.72,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,8,0,0,0,22,1,1,0,1.high
study 2,study2_695,02-04-20 13:27,02-04-20 13:31,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,3.92,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,0,48,1,4,NA,2.low
study 2,study2_696,02-04-20 13:23,02-04-20 13:31,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,7.88,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,0,0,20,0,4,0,2.low
study 2,study2_697,02-04-20 13:24,02-04-20 13:31,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,7.12,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,1,28,0,1,0,1.high
study 2,study2_698,02-04-20 13:27,02-04-20 13:31,0,1,1,algorithm,1,0,0 none,0,Dutch teacher,3.63,2,M.S. Jansen,6,0,3. Other selection,1,0,5,0,0,1,56,0,3,0,2.low
study 2,study2_699,02-04-20 13:28,02-04-20 13:31,0,1,1,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,3.2,1,F. El Amrani,4,1,1. Select teacher with lowest ILE score,0,0,4,1,1,0,41,0,3,0,2.low
study 2,study2_700,02-04-20 13:21,02-04-20 13:31,1,0,0,human,0,0,0 none,0,Dutch teacher,10.38,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,1,57,0,2,NA,1.high
study 2,study2_701,02-04-20 13:28,02-04-20 13:32,1,0,0,human,0,0,0 none,0,Dutch teacher,3.33,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,1,20,1,3,NA,1.high
study 2,study2_702,02-04-20 13:22,02-04-20 13:32,1,0,1,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,10.18,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,66,0,3,0,1.high
study 2,study2_703,02-04-20 13:29,02-04-20 13:32,0,1,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,2.98,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,6,0,0,1,19,0,3,NA,2.low
study 2,study2_704,02-04-20 13:27,02-04-20 13:32,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,5.32,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,5,0,0,1,53,0,1,0,2.low
study 2,study2_705,02-04-20 13:24,02-04-20 13:32,0,1,1,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,7.62,1,F. El Amrani,4,1,1. Select teacher with lowest ILE score,1,0,1,0,0,0,38,1,3,0,2.low
study 2,study2_706,02-04-20 13:26,02-04-20 13:32,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,6.18,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,4,0,0,0,32,1,3,0,1.high
study 2,study2_707,02-04-20 13:30,02-04-20 13:32,0,1,1,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,2.33,2,M.S. Jansen,6,0,3. Other selection,0,0,7,0,1,1,23,0,3,NA,2.low
study 2,study2_708,02-04-20 13:29,02-04-20 13:32,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,3.6,2,M.S. Jansen,6,0,3. Other selection,1,0,7,0,1,1,50,0,4,0,2.low
study 2,study2_709,02-04-20 13:20,02-04-20 13:32,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,12.23,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,32,1,4,1,2.low
study 2,study2_710,02-04-20 13:29,02-04-20 13:32,0,1,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,3.08,2,M.S. Jansen,6,0,3. Other selection,0,0,8,0,0,0,35,0,1,NA,2.low
study 2,study2_711,02-04-20 13:23,02-04-20 13:33,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,9.78,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,0,1,18,0,1,0,1.high
study 2,study2_712,02-04-20 13:23,02-04-20 13:33,1,0,1,human,0,0,0 none,0,Dutch teacher,9.77,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,0,90,1,5,NA,1.high
study 2,study2_713,02-04-20 13:19,02-04-20 13:33,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,13.68,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,20,NA,1,0,2.low
study 2,study2_714,02-04-20 13:29,02-04-20 13:33,0,1,1,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,4.25,1,A. Verhagen,8,0,3. Other selection,1,0,1,0,0,1,21,1,4,NA,1.high
study 2,study2_715,02-04-20 13:28,02-04-20 13:33,0,1,0,human,0,0,0 none,0,Dutch teacher,5.07,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,2,0,0,0,22,0,4,NA,1.high
study 2,study2_716,02-04-20 13:25,02-04-20 13:33,0,1,1,human,0,0,0 none,0,Dutch teacher,7.98,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,1,43,0,2,NA,2.low
study 2,study2_717,02-04-20 13:26,02-04-20 13:34,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,7.87,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,0,59,0,2,1,1.high
study 2,study2_718,02-04-20 13:20,02-04-20 13:34,1,0,0,human,0,0,0 none,0,Dutch teacher,13.83,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,74,0,3,NA,1.high
study 2,study2_719,02-04-20 13:28,02-04-20 13:34,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,6.27,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,0,36,0,1,0,1.high
study 2,study2_720,02-04-20 13:26,02-04-20 13:34,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,8.23,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,57,1,5,NA,2.low
study 2,study2_721,02-04-20 13:26,02-04-20 13:34,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,7.6,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,51,1,5,0,2.low
study 2,study2_722,02-04-20 13:20,02-04-20 13:34,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,14.05,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,47,0,4,0,2.low
study 2,study2_723,02-04-20 13:19,02-04-20 13:34,1,0,1,algorithm,1,0,0 none,0,Dutch teacher,15.73,1,A. Verhagen,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,1,24,0,3,0,2.low
study 2,study2_724,02-04-20 13:27,02-04-20 13:34,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,7.08,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,1,40,1,2,0,1.high
study 2,study2_725,02-04-20 13:20,02-04-20 13:35,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,14.73,1,A. Verhagen,8,0,3. Other selection,0,0,8,1,1,0,72,NA,1,0,1.high
