study,participant.id,start.date,end.date,IMC,excluded,advice,advice.algorithm,timer.minutes,decision,decision.lab,score.teacher.selected,follow.advice,decision.comb,man.check.advice,man.check.evaluation,score.teacher.selected.guess,man.check.score.exact,man.check.score,female,age,high.education,income,teacher.order,familiarity.algorithms.gov,congruence.lab
study 1,study1_239,13-02-20 15:30,13-02-20 15:32,1,1,human,0,2.13,1,1.Verhagen,8,0,3. Other selection,0,0,6,0,0,1,39,1,3,Verhagen-Jansen-den Heijer,NA,1.high
study 1,study1_240,13-02-20 15:13,13-02-20 15:33,1,0,algorithm,1,20.07,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,0,0,44,0,3,den Heijer-Jansen-Verhagen,0,1.high
study 1,study1_241,13-02-20 15:30,13-02-20 15:35,1,0,algorithm,1,5.15,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,1,21,1,2,Jansen-den Heijer-Verhagen,0,2.medium
study 1,study1_242,13-02-20 15:30,13-02-20 15:36,1,0,algorithm,1,6.17,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,22,1,3,Verhagen-Jansen-den Heijer,1,3.low
study 1,study1_243,13-02-20 15:37,13-02-20 15:40,0,1,human,0,3.4,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,0,26,0,3,Jansen-den Heijer-Verhagen,NA,1.high
study 1,study1_244,13-02-20 15:32,13-02-20 15:41,0,1,human,0,8.93,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,8,1,0,1,30,0,1,Jansen-Verhagen-den Heijer,NA,3.low
study 1,study1_245,13-02-20 15:31,13-02-20 15:41,1,0,algorithm,1,10.22,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,0,1,56,1,3,Jansen-den Heijer-Verhagen,0,1.high
study 1,study1_246,13-02-20 15:30,13-02-20 15:43,1,0,human,0,12.28,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,0,70,1,4,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_247,13-02-20 15:39,13-02-20 15:43,1,0,human,0,4.25,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,4,1,1,0,70,1,5,Jansen-den Heijer-Verhagen,NA,3.low
study 1,study1_248,13-02-20 15:40,13-02-20 15:44,0,1,algorithm,1,4.48,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,7,0,1,1,23,1,1,Jansen-Verhagen-den Heijer,0,2.medium
study 1,study1_249,13-02-20 15:39,13-02-20 15:47,1,0,algorithm,1,8.72,1,1.Verhagen,8,0,3. Other selection,0,1,0,0,0,1,54,0,3,Jansen-den Heijer-Verhagen,0,1.high
study 1,study1_250,13-02-20 15:39,13-02-20 15:48,1,0,human,0,8.73,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,71,0,1,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_251,13-02-20 15:40,13-02-20 15:53,1,0,human,0,12.72,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,0,45,0,5,Verhagen-Jansen-den Heijer,NA,3.low
study 1,study1_252,13-02-20 15:50,13-02-20 15:54,1,0,human,0,4.1,1,1.Verhagen,8,0,3. Other selection,0,1,7,0,0,0,43,0,2,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_253,13-02-20 15:50,13-02-20 15:55,1,0,human,0,5.23,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,0,53,0,2,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_254,13-02-20 15:49,13-02-20 15:56,1,0,human,0,7.58,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,47,1,4,Verhagen-Jansen-den Heijer,NA,3.low
study 1,study1_255,13-02-20 15:51,13-02-20 16:00,0,1,human,0,9.38,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,8,0,0,0,70,0,4,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_256,13-02-20 15:51,13-02-20 16:01,1,0,algorithm,1,10.32,2,2.Jansen,8,0,3. Other selection,0,0,9,0,1,0,24,1,4,Jansen-den Heijer-Verhagen,1,2.medium
study 1,study1_257,13-02-20 15:54,13-02-20 16:03,1,0,human,0,9.32,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,47,1,1,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_258,13-02-20 15:58,13-02-20 16:04,1,0,algorithm,1,6.15,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,8,0,0,1,51,0,3,den Heijer-Jansen-Verhagen,0,1.high
study 1,study1_259,13-02-20 16:03,13-02-20 16:06,0,1,human,0,2.6,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,8,0,0,0,63,1,5,den Heijer-Jansen-Verhagen,NA,2.medium
study 1,study1_260,13-02-20 15:51,13-02-20 16:08,1,0,algorithm,1,17.6,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,21,0,3,Jansen-Verhagen-den Heijer,0,3.low
study 1,study1_261,13-02-20 16:09,13-02-20 16:13,1,0,algorithm,1,3.35,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,0,1,47,0,3,Jansen-den Heijer-Verhagen,0,1.high
study 1,study1_262,13-02-20 16:00,13-02-20 16:15,1,0,human,0,14.25,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,64,0,2,den Heijer-Jansen-Verhagen,NA,3.low
study 1,study1_263,13-02-20 16:11,13-02-20 16:17,0,1,algorithm,1,6.72,2,2.Jansen,6,0,3. Other selection,0,0,6,1,0,1,25,0,3,Jansen-den Heijer-Verhagen,0,3.low
study 1,study1_264,13-02-20 16:08,13-02-20 16:21,1,0,algorithm,1,13.32,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,9,0,1,1,73,0,1,Jansen-Verhagen-den Heijer,0,3.low
study 1,study1_265,13-02-20 16:17,13-02-20 16:23,1,0,algorithm,1,6.03,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,58,1,3,Jansen-Verhagen-den Heijer,1,1.high
study 1,study1_266,13-02-20 16:12,13-02-20 16:23,1,0,algorithm,1,11.32,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,29,0,2,den Heijer-Jansen-Verhagen,0,1.high
study 1,study1_267,13-02-20 16:20,13-02-20 16:23,1,0,algorithm,1,3.73,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,30,1,4,Jansen-den Heijer-Verhagen,1,2.medium
study 1,study1_268,13-02-20 16:17,13-02-20 16:24,1,0,algorithm,1,6.05,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,1,1,59,0,5,den Heijer-Jansen-Verhagen,0,1.high
study 1,study1_269,13-02-20 16:21,13-02-20 16:24,1,0,algorithm,1,3.08,1,1.Verhagen,8,0,3. Other selection,0,1,6,0,0,0,20,1,4,Verhagen-Jansen-den Heijer,0,1.high
study 1,study1_270,13-02-20 16:08,13-02-20 16:27,1,0,algorithm,1,19.17,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,28,1,4,Verhagen-Jansen-den Heijer,0,1.high
study 1,study1_271,13-02-20 16:20,13-02-20 16:29,1,0,algorithm,1,9.2,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,6,1,1,0,61,0,4,Verhagen-Jansen-den Heijer,0,2.medium
study 1,study1_272,13-02-20 16:18,13-02-20 16:29,0,1,human,0,11.6,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,5,0,1,1,73,0,1,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_273,13-02-20 16:34,13-02-20 16:38,0,1,human,0,4.42,2,2.Jansen,8,0,3. Other selection,0,1,7,0,0,1,25,0,3,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_274,13-02-20 16:34,13-02-20 16:40,1,0,human,0,5.5,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,28,1,2,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_275,13-02-20 16:37,13-02-20 16:40,0,1,algorithm,1,2.48,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,7,0,0,0,20,1,2,den Heijer-Jansen-Verhagen,1,2.medium
study 1,study1_276,13-02-20 16:45,13-02-20 16:49,1,0,algorithm,1,4.55,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,4,0,0,1,27,1,3,den Heijer-Jansen-Verhagen,0,2.medium
study 1,study1_277,13-02-20 16:43,13-02-20 16:51,1,0,human,0,8.07,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,49,1,2,Verhagen-Jansen-den Heijer,NA,3.low
study 1,study1_278,13-02-20 16:47,13-02-20 16:51,0,1,algorithm,1,3.72,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,7,0,0,0,42,0,2,den Heijer-Jansen-Verhagen,0,2.medium
study 1,study1_279,13-02-20 16:46,13-02-20 16:51,0,1,algorithm,1,5.15,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,0,0,7,0,0,0,38,0,4,Verhagen-Jansen-den Heijer,0,1.high
study 1,study1_280,13-02-20 16:44,13-02-20 16:52,1,0,algorithm,1,8.03,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,35,0,1,den Heijer-Jansen-Verhagen,0,3.low
study 1,study1_281,13-02-20 16:50,13-02-20 16:52,0,1,algorithm,1,2.5,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,0,0,8,0,0,0,31,0,3,Jansen-Verhagen-den Heijer,0,1.high
study 1,study1_282,13-02-20 16:49,13-02-20 16:54,1,0,algorithm,1,4.48,2,2.Jansen,8,0,3. Other selection,0,0,7,0,0,1,33,0,3,Jansen-Verhagen-den Heijer,0,2.medium
study 1,study1_283,13-02-20 16:49,13-02-20 16:54,1,0,human,0,5.32,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,3,0,0,0,69,1,1,Jansen-Verhagen-den Heijer,NA,3.low
study 1,study1_284,13-02-20 16:49,13-02-20 16:56,1,0,human,0,6.33,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,54,1,5,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_285,13-02-20 16:50,13-02-20 16:56,1,0,algorithm,1,6.43,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,1,30,1,2,Jansen-Verhagen-den Heijer,1,3.low
study 1,study1_286,13-02-20 16:50,13-02-20 16:57,1,0,algorithm,1,6.73,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,0,65,1,3,Verhagen-Jansen-den Heijer,1,1.high
study 1,study1_287,13-02-20 16:52,13-02-20 16:57,0,1,algorithm,1,4.8,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,7,0,0,0,30,0,3,Jansen-den Heijer-Verhagen,0,3.low
study 1,study1_288,13-02-20 16:47,13-02-20 16:57,1,0,human,0,10.45,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,0,0,0,1,81,1,3,Jansen-Verhagen-den Heijer,NA,3.low
study 1,study1_289,13-02-20 16:47,13-02-20 16:59,1,0,human,0,12.12,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,69,0,2,Jansen-den Heijer-Verhagen,NA,1.high
study 1,study1_290,13-02-20 17:05,13-02-20 17:06,0,1,human,0,1.53,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,1,0,10,0,0,0,89,0,2,Jansen-den Heijer-Verhagen,NA,1.high
study 1,study1_291,13-02-20 17:05,13-02-20 17:09,1,0,human,0,4.33,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,4,0,0,0,26,1,4,Verhagen-Jansen-den Heijer,NA,1.high
study 1,study1_292,13-02-20 17:03,13-02-20 17:10,0,1,human,0,7.48,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,5,0,0,1,19,0,2,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_293,13-02-20 17:05,13-02-20 17:13,0,1,algorithm,1,7.95,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,6,1,0,0,74,NA,5,den Heijer-Jansen-Verhagen,0,1.high
study 1,study1_294,13-02-20 17:05,13-02-20 17:14,1,0,algorithm,1,8.72,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,62,1,4,Jansen-den Heijer-Verhagen,1,3.low
study 1,study1_295,13-02-20 17:10,13-02-20 17:15,1,0,algorithm,1,5.28,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,1,1,35,1,4,Jansen-Verhagen-den Heijer,0,2.medium
study 1,study1_296,13-02-20 17:12,13-02-20 17:16,0,1,algorithm,1,4.5,1,1.Verhagen,8,0,3. Other selection,0,1,5,0,1,1,57,NA,1,Jansen-den Heijer-Verhagen,0,1.high
study 1,study1_297,13-02-20 17:12,13-02-20 17:19,0,1,human,0,7.15,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,0,62,1,4,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_298,13-02-20 17:07,13-02-20 17:21,1,0,algorithm,1,13.63,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,1,62,0,1,Jansen-den Heijer-Verhagen,0,3.low
study 1,study1_299,13-02-20 17:10,13-02-20 17:21,1,0,algorithm,1,11.67,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,53,1,1,Verhagen-Jansen-den Heijer,0,3.low
study 1,study1_300,13-02-20 17:20,13-02-20 17:22,0,1,algorithm,1,2.58,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,0,1,52,0,3,Jansen-den Heijer-Verhagen,0,2.medium
study 1,study1_301,13-02-20 17:18,13-02-20 17:23,1,0,human,0,4.8,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,48,1,3,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_302,13-02-20 17:10,13-02-20 17:23,1,0,human,0,13.52,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,61,1,2,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_303,13-02-20 17:14,13-02-20 17:24,1,0,human,0,9.1,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,0,0,0,1,82,0,3,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_304,13-02-20 17:20,13-02-20 17:24,1,0,human,0,4.8,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,38,1,5,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_305,13-02-20 17:09,13-02-20 17:26,0,1,human,0,17.48,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,1,65,0,4,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_306,13-02-20 17:18,13-02-20 17:32,1,0,human,0,13.95,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,74,0,4,den Heijer-Jansen-Verhagen,NA,3.low
study 1,study1_307,13-02-20 17:17,13-02-20 17:33,1,0,human,0,15.97,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,1,0,0,1,68,0,1,Jansen-Verhagen-den Heijer,NA,3.low
study 1,study1_308,13-02-20 17:20,13-02-20 17:33,1,0,human,0,13.47,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,0,65,0,1,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_309,13-02-20 16:50,13-02-20 19:28,1,0,human,0,158.28,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,0,0,0,1,43,1,4,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_310,14-02-20 10:34,14-02-20 10:38,0,1,algorithm,1,3.53,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,10,0,0,1,44,0,1,Verhagen-Jansen-den Heijer,0,3.low
study 1,study1_311,14-02-20 10:42,14-02-20 10:47,1,0,human,0,5.03,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,0,0,43,1,4,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_312,14-02-20 10:44,14-02-20 10:48,1,0,algorithm,1,4.67,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,8,0,0,1,74,0,4,Verhagen-Jansen-den Heijer,0,2.medium
study 1,study1_313,14-02-20 10:38,14-02-20 10:50,0,1,human,0,12.3,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,0,0,62,1,5,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_314,14-02-20 10:49,14-02-20 10:51,0,1,algorithm,1,2.08,1,1.Verhagen,8,0,3. Other selection,1,0,8,1,0,1,72,1,4,Verhagen-Jansen-den Heijer,1,1.high
study 1,study1_315,14-02-20 10:44,14-02-20 10:52,1,0,algorithm,1,7.92,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,1,54,0,4,Jansen-Verhagen-den Heijer,0,1.high
study 1,study1_316,14-02-20 10:47,14-02-20 10:53,0,1,algorithm,1,6.32,2,2.Jansen,6,0,3. Other selection,0,0,7,0,0,0,35,0,1,Jansen-Verhagen-den Heijer,0,3.low
study 1,study1_317,14-02-20 10:38,14-02-20 10:54,1,0,algorithm,1,15.6,2,2.Jansen,8,0,3. Other selection,0,0,7,0,1,0,24,1,3,Verhagen-Jansen-den Heijer,0,2.medium
study 1,study1_318,14-02-20 10:54,14-02-20 10:56,0,1,algorithm,1,2.33,2,2.Jansen,6,0,3. Other selection,1,0,7,0,0,0,21,0,4,Jansen-Verhagen-den Heijer,0,3.low
study 1,study1_319,14-02-20 10:46,14-02-20 10:57,1,0,algorithm,1,10.32,2,2.Jansen,6,0,3. Other selection,0,1,6,1,1,1,35,0,2,Jansen-den Heijer-Verhagen,1,3.low
study 1,study1_320,14-02-20 10:51,14-02-20 10:57,1,0,human,0,5.8,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,0,0,0,0,78,0,3,Verhagen-Jansen-den Heijer,NA,3.low
study 1,study1_321,14-02-20 10:51,14-02-20 10:59,1,0,algorithm,1,8.3,1,1.Verhagen,8,0,3. Other selection,1,1,8,1,1,0,45,1,1,Jansen-Verhagen-den Heijer,1,1.high
study 1,study1_322,14-02-20 10:55,14-02-20 11:12,1,0,algorithm,1,16.83,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,39,1,3,Jansen-Verhagen-den Heijer,0,2.medium
study 1,study1_323,14-02-20 10:58,14-02-20 11:12,1,0,algorithm,1,14.18,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,0,70,NA,4,den Heijer-Jansen-Verhagen,0,2.medium
study 1,study1_324,14-02-20 11:11,14-02-20 11:13,0,1,human,0,2.05,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,6,0,1,0,58,0,4,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_325,14-02-20 11:02,14-02-20 11:13,1,0,human,0,10.62,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,61,1,5,Verhagen-Jansen-den Heijer,NA,1.high
study 1,study1_326,14-02-20 11:13,14-02-20 11:20,1,0,algorithm,1,7.12,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,5,0,0,1,58,0,1,Verhagen-Jansen-den Heijer,0,1.high
study 1,study1_327,14-02-20 11:16,14-02-20 11:20,1,0,human,0,4.2,2,2.Jansen,6,0,3. Other selection,0,1,6,1,1,0,42,1,3,Verhagen-Jansen-den Heijer,NA,3.low
study 1,study1_328,14-02-20 11:19,14-02-20 11:23,1,0,algorithm,1,4.42,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,25,1,4,Jansen-den Heijer-Verhagen,1,3.low
study 1,study1_329,14-02-20 11:20,14-02-20 11:29,1,0,human,0,8.8,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,59,1,5,Jansen-den Heijer-Verhagen,NA,3.low
study 1,study1_330,14-02-20 11:11,14-02-20 11:29,0,1,human,0,18.35,1,1.Verhagen,8,0,3. Other selection,1,1,8,1,1,0,70,1,4,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_331,14-02-20 11:25,14-02-20 11:30,0,1,algorithm,1,4.9,1,1.Verhagen,8,0,3. Other selection,1,0,8,1,1,1,24,1,1,den Heijer-Jansen-Verhagen,0,1.high
study 1,study1_332,14-02-20 11:25,14-02-20 11:32,1,0,human,0,6.88,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,19,1,3,den Heijer-Jansen-Verhagen,NA,3.low
study 1,study1_333,14-02-20 11:30,14-02-20 11:33,1,0,human,0,3.78,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,1,30,1,4,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_334,14-02-20 11:30,14-02-20 11:34,1,0,human,0,4.53,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,52,1,5,Jansen-Verhagen-den Heijer,NA,3.low
study 1,study1_335,14-02-20 11:30,14-02-20 11:35,1,0,human,0,5.43,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,0,0,0,1,26,1,4,den Heijer-Jansen-Verhagen,NA,3.low
study 1,study1_336,14-02-20 11:28,14-02-20 11:35,1,0,human,0,7.93,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,0,0,69,0,4,Jansen-den Heijer-Verhagen,NA,3.low
study 1,study1_337,14-02-20 11:32,14-02-20 11:37,1,0,human,0,4.12,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,6,1,1,1,35,1,4,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_338,14-02-20 11:27,14-02-20 11:37,0,1,human,0,9.47,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,4,1,1,0,71,0,3,den Heijer-Jansen-Verhagen,NA,2.medium
study 1,study1_339,14-02-20 11:31,14-02-20 11:38,1,0,human,0,7.03,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,57,1,4,Verhagen-Jansen-den Heijer,NA,3.low
study 1,study1_340,14-02-20 11:30,14-02-20 11:40,1,0,algorithm,1,9.73,2,2.Jansen,8,0,3. Other selection,0,1,8,1,1,0,66,1,3,Verhagen-Jansen-den Heijer,0,2.medium
study 1,study1_341,14-02-20 11:30,14-02-20 11:40,1,0,algorithm,1,10,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,64,0,2,den Heijer-Jansen-Verhagen,0,2.medium
study 1,study1_342,14-02-20 11:30,14-02-20 11:40,1,0,algorithm,1,10.58,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,45,1,4,den Heijer-Jansen-Verhagen,0,3.low
study 1,study1_343,14-02-20 11:34,14-02-20 11:41,1,0,human,0,7.12,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,1,34,1,2,den Heijer-Jansen-Verhagen,NA,2.medium
study 1,study1_344,14-02-20 11:27,14-02-20 11:42,1,0,algorithm,1,14.45,2,2.Jansen,6,0,3. Other selection,1,0,8,0,0,0,65,0,1,den Heijer-Jansen-Verhagen,0,3.low
study 1,study1_345,14-02-20 10:58,14-02-20 11:44,0,1,human,0,45.68,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,7,0,0,1,18,0,3,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_346,14-02-20 11:53,14-02-20 11:57,1,0,human,0,4.85,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,0,1,68,1,3,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_347,14-02-20 11:54,14-02-20 11:59,1,0,human,0,5.1,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,7,0,1,0,68,0,2,den Heijer-Jansen-Verhagen,NA,3.low
study 1,study1_348,14-02-20 11:56,14-02-20 12:02,1,0,human,0,5.82,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,0,0,70,1,4,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_349,14-02-20 11:56,14-02-20 12:03,1,0,human,0,6.97,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,1,0,69,1,5,Verhagen-Jansen-den Heijer,NA,1.high
study 1,study1_350,14-02-20 12:04,14-02-20 12:07,1,0,human,0,3.9,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,1,0,7,0,0,1,41,0,4,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_351,14-02-20 12:07,14-02-20 12:12,0,1,human,0,5.27,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,6,1,0,0,20,1,3,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_352,14-02-20 12:03,14-02-20 12:13,1,0,human,0,9.47,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,43,1,4,Jansen-den Heijer-Verhagen,NA,1.high
study 1,study1_353,14-02-20 12:10,14-02-20 12:17,1,0,human,0,6.83,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,0,0,77,0,4,den Heijer-Jansen-Verhagen,NA,2.medium
study 1,study1_354,14-02-20 12:12,14-02-20 12:19,1,0,human,0,6.67,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,59,0,1,Jansen-Verhagen-den Heijer,NA,3.low
study 1,study1_355,14-02-20 12:17,14-02-20 12:19,0,1,human,0,2.05,2,2.Jansen,8,0,3. Other selection,0,0,6,0,0,0,39,0,3,den Heijer-Jansen-Verhagen,NA,2.medium
study 1,study1_356,14-02-20 12:12,14-02-20 12:19,1,0,human,0,7.15,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,38,1,1,Jansen-Verhagen-den Heijer,NA,1.high
study 1,study1_357,14-02-20 12:17,14-02-20 12:22,1,0,algorithm,1,5.25,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,0,1,0,0,0,0,70,1,2,Verhagen-Jansen-den Heijer,0,1.high
study 1,study1_358,14-02-20 12:13,14-02-20 12:23,1,0,algorithm,1,10.08,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,1,67,0,3,Jansen-Verhagen-den Heijer,0,3.low
